date,retweets,favorites,finBERT,finBERT_min,finBERT_max,buzz,sent12,sent26,adjclose,volume,EMA12,EMA26
2018-05-04,2216,3978,-0.02984888631007752,-0.9333474,0.89118165,-0.1575472233379437,-0.024900225589527324,-0.046369265111344454,255.7319793701172,91222100,254.75129590131596,255.56080991888103
2018-05-07,2165,3542,0.055280047900000004,-0.87531626,0.8797768,-0.2007250735527201,-0.014497830938674933,-0.04514060143093153,256.59722900390625,55304900,255.03528560940677,255.63758170295696
2018-05-08,2387,4002,-0.011084218290598294,-0.93889785,0.8319774999999999,-0.14025835107535353,-0.013972659762047757,-0.044801731946948115,256.59722900390625,67499200,255.27558459317592,255.70866668821247
2018-05-09,2035,3141,0.04673122726016261,-0.909043,0.884007,-0.24780400263700403,-0.004633600220169238,-0.04389095623344452,259.07745361328125,59666100,255.86048751934598,255.9582064604398
2018-05-10,6764,12772,0.013986620999999996,-0.9390854999999999,0.8941875,1.0253662829568138,-0.0017689508016816634,-0.04331505994256448,261.4999694824219,72063900,256.72810012904995,256.36870742503106
2018-05-11,2289,3724,-0.008499873601562489,-0.9485239,0.8260027,-0.17359484323296326,-0.0028044773862787135,-0.0429686401779774,262.2978820800781,59871500,257.5849896599774,256.8079055476272
2018-05-14,2168,3470,-0.0678553547377049,-0.94447786,0.9274187,-0.20684267450717508,-0.0031606818444077237,-0.041720520089782505,262.4228820800781,54790600,258.32928080153135,257.2238297352161
2018-05-15,2234,4216,0.013709294082089566,-0.937923,0.88084584,-0.13485003718808175,-0.0005653009326389096,-0.04116897965026139,260.6155700683594,87036100,258.6810176118126,257.47506975989336
2018-05-16,2563,4580,0.0071482982554744515,-0.89590794,0.9243793,-0.0734080449933383,0.000621406634763146,-0.04068821071587596,261.7114562988281,53942600,259.14723894827654,257.78887617018484
2018-05-17,2035,3503,0.05271922984374999,-0.9338059000000001,0.9130436,-0.21570876284696489,0.008636456359222663,-0.03975878344662595,261.4903869628906,56536400,259.50772325821714,258.0630621548297
2018-05-18,2673,4518,0.03615350326495727,-0.8811298000000001,0.8981829,-0.06915232259023919,0.01286984819087414,-0.03900343731019229,260.8366394042969,64368000,259.7121718960756,258.2685123214569
2018-05-21,2072,3387,0.03141041003448277,-0.93748945,0.9264409,-0.22271297263539885,0.021919796633703095,-0.03677486585763587,262.7977294921875,58025900,260.18687306470815,258.6040098896592
2018-05-22,2478,3816,-0.05914524948630138,-0.9173097,0.8257175999999999,-0.14868113499815386,0.00944825107677933,-0.03699745673951314,262.0671081542969,52966400,260.47614000156796,258.86053568703977
2018-05-23,1972,2982,-0.09955116928260865,-0.9350449000000001,0.8290511999999999,-0.26748671875133745,-0.007320890516972668,-0.037619881739941956,262.78814697265625,64694200,260.8318333817354,259.1514698563447
2018-05-24,2659,4282,-0.09397612602040815,-0.9307652,0.8606408999999999,-0.09131754343971374,-0.020652465209808898,-0.03818064038949883,262.2497863769531,76043800,261.0499799963843,259.38097478379717
2018-05-25,9314,21077,-0.05782114529411762,-0.93448395,0.89562875,1.9877801722409987,-0.02637072368431793,-0.03837606829899753,261.62493896484375,56374800,261.13843522230115,259.5471943527636
2018-05-29,2163,3430,-0.026534301922480612,-0.9421681000000001,0.89160055,-0.2108324142600805,-0.00533745203861051,-0.03599912853926821,258.6159973144531,115908600,260.750367851863,259.4782167943702
2018-05-30,3412,6230,0.059216994207407406,-0.93837184,0.88292,0.14815550261800925,0.004594001230007631,-0.03505170443233612,262.0671081542969,69678400,260.9529432830067,259.6699865247352
2018-05-31,2360,3489,-0.051888274544776125,-0.9464698,0.8928464,-0.18813522811021857,-0.004095579658420639,-0.03521923249315642,260.46173095703125,93519900,260.87737215593353,259.7286342604608
2018-06-01,2982,4687,-0.013117797190839688,-0.9498601999999999,0.7990904000000001,-0.026772420326043864,-0.005483613124946647,-0.034999317714028894,263.01885986328125,71258400,261.2068318032178,259.97235467548455
2018-06-04,3999,7593,0.07034184405882353,-0.93724465,0.90062773,0.32104422524391074,0.022746690332871144,-0.03205680242705758,264.2685852050781,45385200,261.67787078811944,260.29059397397293
2018-06-05,2985,5505,-0.021492871360544213,-0.91437536,0.9007371999999999,0.04601816494363055,0.01594060391849955,-0.031951688685102224,264.46087646484375,51135000,262.10602550761547,260.5995037881115
2018-06-06,2577,3961,0.023467329357723596,-0.8924798,0.8706651,-0.1270478794490667,0.01709856167838017,-0.03140025566975072,266.6719055175781,62732200,262.8084685860713,261.0493113236276
2018-06-07,3053,4785,-0.0010245441439393922,-0.9465677,0.9038326999999999,-0.01178873103179907,0.014310391551869467,-0.031098009783921757,266.6430969238281,72969400,263.39841140726463,261.46366581253136
2018-06-08,2190,4262,0.05752441459090911,-0.93952763,0.8820694,-0.13467271542128595,0.020958702788644798,-0.030216194616012992,267.431396484375,72139700,264.018870649897,261.9057199363716
2018-06-11,2994,5062,0.006616625206896552,-0.90854675,0.87699676,0.007539341548942734,0.032532133913039794,-0.02765697198526702,267.7870178222656,58892500,264.59858559949214,262.341371631623
2018-06-12,2900,5022,0.02831746499275368,-0.9527201999999999,0.9189514999999999,-0.004341216826375623,0.03188372330991886,-0.027100012413346416,268.1331787109375,72329000,265.1423691550991,262.7703943782389
2018-06-13,2581,4021,-0.09604967470399998,-0.9384648999999999,0.87407434,-0.12137358291160123,0.012201662077008266,-0.027786078704795707,267.2775573730469,79070600,265.470859650168,263.1042583037802
2018-06-14,3020,5377,-0.044979362935483894,-0.9270652,0.8746699,0.03777270278762602,0.003404581305855626,-0.027957156159827433,267.9504699707031,77097600,265.8523381610196,263.4632369457745
2018-06-15,1928,3394,-0.039008972639175264,-0.92885387,0.88273495,-0.2348595136609109,-0.0031205808395337424,-0.028067124483005027,267.6086730957031,120041600,266.12254353558626,263.7703062902136
2018-06-18,3776,6490,0.024180143933333325,-0.92857444,0.8598283999999999,0.20347989385829773,0.008776819577961484,-0.02640137625610847,267.0582275390625,52917600,266.2664949207365,264.0138560123506
2018-06-19,22755,43972,-0.11653863423622046,-0.9483949,0.9012523000000001,5.209362031387028,-0.010502481008835739,-0.027298264395214062,266.03466796875,97531500,266.23082923581546,264.1635457868987
2018-06-20,2396,4680,-0.08942589084347818,-0.9383377,0.8629886999999998,-0.07934832418099749,-0.022644544060319193,-0.027916449733007734,266.4884948730469,53785500,266.27047010308183,264.33576423772445
2018-06-21,2316,3503,-0.0009721564380165341,-0.94623303,0.8933564,-0.1907950546121555,-0.019310330579964938,-0.02764834731216205,264.8179626464844,71061400,266.0470074174514,264.3714826383733
2018-06-22,1973,3874,-0.028627289745454573,-0.9254222,0.90153795,-0.18831254987701435,-0.02074370891311719,-0.02765808803289133,265.30078125,54898500,265.93220339168965,264.4403195725679
2018-06-25,2686,4937,0.04639004057391304,-0.9298223,0.82643616,-0.030850820962347182,0.008416067788307153,-0.025286141039959565,261.6892395019531,137854200,265.27943971634556,264.23653586363343
2018-06-26,2092,3373,-0.0037616788301886657,-0.94181925,0.8921537,-0.22218100733501148,0.006542568308538566,-0.025071967286628513,262.2686462402344,68547400,264.81624072002074,264.09076626190017
2018-06-27,1978,3235,-0.005267168277777783,-0.94522244,0.92449576,-0.2445235499512818,0.0047256857567975884,-0.02487490460992353,260.0959167480469,105110700,264.0900370320248,263.79485148309624
2018-06-28,2245,3914,-0.0063400336134453875,-0.9203752000000001,0.8124698,-0.16065035425687013,0.003023267392144823,-0.02469047803284415,261.5830078125,76650500,263.70434022902094,263.6310112112002
2018-06-29,2430,4107,-0.037380686663636364,-0.92272097,0.92419255,-0.1271365403324646,-0.0031927255395138216,-0.02481674876548885,261.95965576171875,97592500,263.4359272340514,263.5072071038312
2018-07-02,2175,3712,-0.011769003822916678,-0.92701113,0.8882936,-0.18476611454109843,-0.010045181371737924,-0.02466623585537644,262.51971435546875,63554800,263.29497140657713,263.4340594928414
2018-07-03,2433,4107,-0.03591372317857142,-0.91961634,0.8253178,-0.1268705576822709,-0.014024957034327693,-0.02477815115212465,261.5926513671875,42187100,263.0330760159018,263.29765889094114
2018-07-05,2732,5060,-0.1188960366055046,-0.92631197,0.8601937,-0.015867131668102386,-0.029654884095506942,-0.02557056834458924,263.7266845703125,56925900,263.13978502427267,263.3294385708946
2018-07-06,2291,4469,-0.046955715796747975,-0.90389854,0.9125873,-0.10736516333473331,-0.03231655051108249,-0.02578335588142664,265.9573669433594,66493700,263.5732591656706,263.5240999318179
2018-07-09,2287,4474,-0.062035424217391305,-0.9119599,0.79701984,-0.10727650245133541,-0.019519178697947094,-0.02485086309355707,268.3522033691406,50550400,264.3084813508198,263.8817372234714
2018-07-10,3168,5750,0.034949852438848905,-0.9476110999999999,0.8719402,0.08396502303793096,-0.011139327753824632,-0.024255831098209748,269.3177795410156,51966800,265.07914261084994,264.284407024771
2018-07-11,2557,4504,-0.015350124690647478,-0.9362956,0.8897437,-0.08067823743196596,-0.011787142667181992,-0.024167217104104653,267.347900390625,77054700,265.4281822692769,264.51133245927866
2018-07-12,3089,5131,-0.00012663139705881187,-0.91796625,0.917761,0.022079726426198036,-0.00999321785639381,-0.023928007296074347,269.7716979980469,60124700,266.0964154583184,264.90098916585407
2018-07-13,3362,6742,-0.03246147019841268,-0.91270685,0.8537176,0.18911683074783822,-0.013449872062858251,-0.02401291737470458,269.9841003417969,48216000,266.69452082500743,265.2775159196276
