date,retweets,favorites,vader,finBERT,finBERT_min,finBERT_max,buzz,buzz_n,sent_wn,sent12,sent26,sent50,sent200,adjclose,volume,EMA12,EMA26,EMA50,EMA200
2018-08-01,1848,3383,0.06600235294117648,0.07325132364705882,-0.9549350000000001,0.902098,5231,-0.24292765405011965,0.9552999430827822,-0.017329436918122207,-0.019252296654594086,-0.015895793422573218,-0.022888841090344572,271.2104797363281,53853300,271.2104797363281,271.2104797363281,271.2104797363281,271.2104797363281
2018-08-02,2484,4039,0.11446338028169015,0.14363205323943662,-0.8599690000000001,0.86692,6523,-0.1283777927000352,0.9551544643017772,0.0074338692599637685,-0.007186789255036257,-0.009639799435827734,-0.02123191676865521,272.6879577636719,63426400,271.4377840482272,271.3199225531684,271.26842005112593,271.22518101023206
2018-08-03,1986,2898,-0.06260153846153847,-0.08961295876923075,-0.9195629999999999,0.889868,4884,-0.27369298058919034,0.9648544089305945,-0.007496411975296929,-0.013292431441272887,-0.012776001762627852,-0.02191232514677039,273.8563232421875,53935400,271.80986700114414,271.50780408568835,271.36990645077543,271.25136152995304
2018-08-06,2017,3445,0.06814250000000002,-0.09917950287500002,-0.934526,0.8651709999999999,5462,-0.22244698998520515,0.9642980768016033,-0.0027317531116336415,-0.008490739220631736,-0.009952732976275164,-0.020852388767505604,274.8606262207031,39400900,272.27921457338397,271.7561612808746,271.50679742214515,271.2872746114531
2018-08-07,2647,4327,0.04548846153846155,-0.0769866925641026,-0.9454299999999999,0.842044,6974,-0.0883917342875831,0.9608536019188458,-0.01415558995047502,-0.013564513542370317,-0.012581515705209573,-0.021410939054038906,275.7682800292969,43196600,272.81599387429367,272.0533552622392,271.6739143871315,271.3318617300386
2018-08-08,2237,3359,0.11967058823529413,-0.08159180317647056,-0.941607,0.8592350000000001,5596,-0.2105664316098868,0.9631959837352068,-0.024530391985243566,-0.01860357203378515,-0.015287801488396278,-0.02200975362242131,275.65240478515625,42114600,273.25236478365713,272.31995152319604,271.8299336184266,271.374852208199
2018-08-09,2135,3278,-0.008697297297297292,-0.05592985378378381,-0.9154190000000001,0.89585,5413,-0.22679137327170218,0.9621809441158377,-0.02936107841578822,-0.02136848179304431,-0.01688160746076442,-0.022347267056862727,275.27587890625,35717000,273.5636746486714,272.53890910712596,271.965068727753,271.41366839424927
2018-08-10,1609,2347,-0.03359041095890411,-0.14378588413698634,-0.9391889999999999,0.873283,3956,-0.35597028038243983,0.9708725262012806,-0.046964894680587926,-0.0304364375222252,-0.02185824576179273,-0.02355561150542117,273.4314880371094,77076000,273.54333824689263,272.6050260649025,272.0225753673356,271.43374620164093
2018-08-13,1451,2213,-0.05390000000000003,-0.08641747750000005,-0.9027790000000001,0.9083049999999999,3664,-0.3818592583346261,0.9667672513363901,-0.053641264486222556,-0.03716335625504478,-0.026481359165156378,-0.02470594449803913,272.40789794921875,65732900,273.3686551241736,272.59042398225927,272.03768605682126,271.4434392538557
2018-08-14,1529,2505,-0.06433428571428572,-0.10455571314285717,-0.900502,0.8958200000000001,4034,-0.3490547314774038,0.9675565903145279,-0.06147425658724327,-0.04215538269117903,-0.029543098536830917,-0.025500469559181598,274.1460266113281,43842000,273.48825073758195,272.70565380663476,272.12036607856663,271.47033067034795
2018-08-15,1615,2665,-0.05587875000000001,-0.10246160537500004,-0.941627,0.899538,4280,-0.3272441541615208,0.9668870506900615,-0.06778000255459046,-0.046622510297387995,-0.032402647824602254,-0.026266252005110142,272.0989074707031,102925400,273.2745056196006,272.6607096336028,272.1195245645328,271.47658516587387
2018-08-16,1929,4178,0.06065441176470587,-0.02184334426470589,-0.9276700000000001,0.9102879999999999,6107,-0.16526072019356083,0.9601322647811287,-0.06071282435614668,-0.04478701651718932,-0.031988557488920044,-0.026222242972867314,274.3005676269531,69967900,273.43236131303945,272.7821805960732,272.20505566501987,271.5046844938448
2018-08-17,1323,2215,0.021294736842105262,-0.07844100122807018,-0.925009,0.87145,3538,-0.39303052964276125,0.9662774396633023,-0.06344023618259645,-0.04727990427355087,-0.03381022194927887,-0.026741832607247443,275.2661437988281,65618500,273.7144816954685,272.9661778703513,272.32509833693393,271.54211194961584
2018-08-20,1672,2610,0.09773333333333338,0.000810597227272719,-0.9256409999999999,0.8738309999999999,4282,-0.327066832394725,0.9592574496963792,-0.06408021237611985,-0.05134643154800603,-0.03764743504557346,-0.027970357829835688,275.855224609375,39807500,274.04382675914644,273.1801813325012,272.4635346613434,271.58502849349406
2018-08-21,2583,3987,0.038036,-0.05807457658666665,-0.948635,0.8651780000000001,6570,-0.12421073118033397,0.9609458247904382,-0.06315626840851167,-0.051844812661980884,-0.03844849941973398,-0.028269902295077788,276.5022277832031,67272000,274.42204230130903,273.42625884736805,272.6219147837692,271.63395584961063
2018-08-22,1840,3261,0.10847272727272729,0.01857571631168832,-0.9448059999999999,0.8567319999999999,5101,-0.2544535688918464,0.9582502098052514,-0.05058211691309628,-0.046628477182449835,-0.03621225566556056,-0.02780377673680151,276.33807373046875,44993300,274.7168163673336,273.64194883870886,272.7676465071692,271.68076299270376
2018-08-23,4085,7258,-0.03925609756097562,-0.13181726658536583,-0.931132,0.8852969999999999,11343,0.2989676652778341,0.9504202772870155,-0.06307983224729159,-0.052938757878962135,-0.03996147178006272,-0.028838736834797176,275.9710998535156,49204900,274.9097830575155,273.8144785435093,272.89327212859456,271.72345291171683
