,adjclose,EMA12,EMA26
-50,-0.36206410796016153,-0.7564585719964491,-0.7504803160083114
-49,-0.32846490862688177,-0.7506963744796564,-0.7645896894165678
-48,-0.31867725347389864,-0.7403230212571865,-0.7773317259655814
-47,-0.33019480245997923,-0.7224996388565438,-0.7886836060161223
-46,-0.3365011893663435,-0.6912586714786879,-0.7732865934722929
-45,-0.3214784126597421,-0.6589172711283231,-0.7490777370830879
-44,-0.3659570888859854,-0.6582170388247129,-0.7490172296567654
-43,-0.39890545999280996,-0.6768397489611643,-0.7722219622244173
-42,-0.43261936559099445,-0.6881710061361583,-0.7874763128779239
-41,-0.42205261532667654,-0.6991129777708781,-0.794935109842271
-40,-0.3462867088050113,-0.7236507043836914,-0.8174664991752336
-39,-0.26605257084755074,-0.7230733272937059,-0.8261315311524738
-38,-0.13915124391958994,-0.6654308098588262,-0.81059271385607
-37,-0.0724571102381155,-0.590284928304514,-0.8057167748692158
-36,-0.07911064180645358,-0.6099459331225497,-0.8254067423304965
-35,-0.1017533505852451,-0.6287850181264893,-0.838737986232322
-34,-0.08265057320173472,-0.560810914764875,-0.8349874536902842
-33,-0.02691144370981762,-0.46899347747205816,-0.8162248349293437
-32,-0.013433939627470515,-0.39970582386587367,-0.7910068681927415
-31,-0.005696926080533426,-0.34286843901366204,-0.7573532897765558
-30,0.03596010697632703,-0.2635997921320037,-0.7040891092250849
-29,0.049832493830976064,-0.2695210595745434,-0.7168832844073841
-28,0.06314700040717573,-0.28229180383238667,-0.7326133375455062
-27,0.14109357850005838,-0.1882585092008111,-0.6468132652631996
-26,0.2313974788431239,-0.07678761667798936,-0.5313198803018001
-25,0.29807498395047743,0.010274091087616833,-0.41698806066395944
-24,0.3222455709956837,0.07261511860748276,-0.3101778281179996
-23,0.3568622195685769,0.13222269572638928,-0.20853040781922083
-22,0.3764466169767398,0.14801203443092376,-0.19686654999949163
-21,0.3881822691329032,0.16021031881588133,-0.18629303711412323
-20,0.42561825500759665,0.22509929946265456,-0.07681534081269768
-19,0.48175738375786115,0.3015149895935293,0.03700839339591378
-18,0.5033335222266194,0.343772224303467,0.11206783613457277
-17,0.5091361541205612,0.36224489914135466,0.15741407445299319
-16,0.5330171834610316,0.3961204370168614,0.21402756372545914
-15,0.5528905171943901,0.41845958971883357,0.23625980435828542
-14,0.5651450994872207,0.43455874197849825,0.2528120787913471
-13,0.5934060687020682,0.47210269400875554,0.3102982826432411
-12,0.6355590203948962,0.5192950020430391,0.37392987749098583
-11,0.6576815247896869,0.5450846063154426,0.4119480351668611
-10,0.6585027177865762,0.5517657139683902,0.42751645041123115
-9,0.683039638400452,0.5770505619286922,0.46037136239181436
-8,0.7061272959685356,0.5989718697309304,0.4826791245024883
-7,0.7299335996520213,0.6175085499632066,0.501203721436666
-6,0.7631159345043093,0.6520383742302492,0.5415010370473335
-5,0.8080705636065822,0.6971302543151857,0.5928448842564514
-4,0.8352102073399958,0.7214423133898688,0.6208778026362465
-3,0.8426665834827304,0.7284096267973339,0.6293444042617392
-2,0.8581127818777716,0.7512024581533931,0.6553094481239893
-1,0.8738249516816222,0.7721879423905641,0.676897845974583
0,0.8920406310131607,0.7903293000732108,0.6946331519934501
1,0.9046083065673258,0.8188147458215568,0.7271555906021555
2,0.9242208425799936,0.8526290633510656,0.7676759216646117
3,0.9266393458778851,0.8644422083831552,0.7817026228928324
4,0.9230106231755578,0.864331552985468,0.7817293932747595
5,0.9204990917389111,0.8753079921970996,0.7984185597481122
6,0.9282573163162545,0.8919116494285128,0.8213520410278992
7,0.9370931305985418,0.91238406268696,0.8489784556359197
8,0.9383071722826476,0.9329216542664834,0.8801329984772284
9,0.9408837072828224,0.9522803371735219,0.9118897825680298
10,0.9360175861408073,0.956906453819045,0.9239062314277003
11,0.9299713820441498,0.9548766414810282,0.9262731974736069
12,0.9212394289301847,0.9579021941890569,0.9353096947698386
13,0.9215749727861025,0.9633868279154787,0.9461994017754956
14,0.9108789681377412,0.9662394979042676,0.9560331159574473
15,0.8960954620501032,0.9642858353813438,0.9624517185979738
16,0.8879251433770963,0.9612832663462899,0.9669437465249857
17,0.8864788294743186,0.9575875332169331,0.964927405674457
18,0.8772371962108539,0.9536807998950213,0.9620680267190623
19,0.8737621339763599,0.9495013189059074,0.9571506970245385
20,0.8719357147105538,0.9509935062981331,0.9611932807802919
21,0.8606823862237418,0.9499664594681085,0.9637229523425583
22,0.8434262294627195,0.9418168297827876,0.960445174060944
23,0.8363670763907062,0.9424533900400099,0.9634074186909924
24,0.8278110043606863,0.9392570924436684,0.9597486612497028
25,0.8155737031090925,0.9337244469774468,0.9526990197049122
26,0.8088572471032546,0.9291965613309918,0.9497908945065909
27,0.801594324479659,0.9259535053723107,0.9502667854822467
28,0.7893783366653537,0.9165859595757557,0.9463654782202711
29,0.7670001162549595,0.898353001933918,0.9339746092764359
30,0.7629959196543915,0.8888416196216077,0.9276663472587358
31,0.7482738402054635,0.8723819373846267,0.9127544561806508
32,0.7429933279339189,0.8631256502270359,0.9016624606309163
33,0.7517812261944592,0.8632240807105193,0.9007653782201659
34,0.7648449060276864,0.8762095836130117,0.9120212267255478
35,0.7718028402809844,0.8864771339245838,0.9207521604228278
36,0.7876713665629395,0.8973496031421224,0.9277382586029371
37,0.798142836614459,0.9134692521184287,0.943092731550401
38,0.7625928458096503,0.8911245446261093,0.9210363729060783
39,0.7239091252669584,0.8504865415447198,0.8790084500037881
40,0.709712012419408,0.8425093449062296,0.8719949575972232
41,0.7017907918897035,0.849360413901054,0.8844231847911497
