Date,All Weather,Benchmark (SPY),MS50-4-83,MS50-20-85,MR1000-20-300,MR500-50-600,MV100-10-100,MR100-10-999,MR100-20-85,MR100-40-999,MV200-5-244,MR100-20-99,MS5-10-105,MS5-2-105,MR100-10-64,MR2-10-10,MR2-2-10,MR5-2-85,MR100-10-0
2020-01-03 00:00:00+00:00,1.0,0.9924277665156773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-06 00:00:00+00:00,1.0,0.9962139302267472,0.9999633649999998,0.99996428,0.9999634950000001,0.999965375,0.9999381549999999,0.99995427,0.9999629250000001,0.999951625,0.9999500250000001,0.9999628900000002,0.9999659449999999,0.9999659449999999,0.9999484649999999,0.9999603850000001,0.9999603850000001,0.99996572,0.9999560900000001
2020-01-07 00:00:00+00:00,1.0,0.9934127984639289,0.9990769519999998,0.9989525399999998,0.9994733040000001,0.9993748159999999,0.9975517289999998,0.9989326789999999,0.999709042,0.9996446360000001,0.998170833,1.0010536540000001,0.9986733609999999,0.9986733609999999,0.999499988,0.9978096759999999,0.9978096759999999,0.9989458379999998,0.9989273759999999
2020-01-08 00:00:00+00:00,1.0,0.9987072277635097,0.9966976359999999,0.9964263529999998,0.9950029980000001,0.9953514939999999,0.9943244430000001,0.9952943019999999,0.993585801,0.99491406,0.9982690609999999,0.9949060730000002,0.9945531759999998,0.9945531759999998,0.9940834249999998,0.996984509,0.996984509,0.9941344499999999,0.993705189
2020-01-09 00:00:00+00:00,1.0,1.005479111047651,0.9977725249999998,0.9976686239999998,0.994830962,0.9956760599999996,0.996434633,0.9958267749999997,0.9924313809999998,0.9946099869999998,1.0010356109999998,0.9923914750000001,0.9956039849999998,0.9956039849999998,0.9936177649999998,0.9996352490000001,0.9996352490000001,0.9946010999999999,0.993856798
2020-01-10 00:00:00+00:00,1.0,1.0025856384107978,1.000631286,1.0008269829999996,0.999562838,1.0002247939999995,0.999348253,0.9993956019999998,0.9986056209999997,0.99894065,1.0010375309999997,0.9979858730000001,1.0006224759999998,1.0006224759999998,0.9984964249999997,1.0012181890000003,1.0012181890000003,1.00014605,0.999201599
2020-01-13 00:00:00+00:00,1.0,1.0094807681107416,0.999755789,0.9999270949999997,0.9966017189999998,0.9978447509999998,0.9986786209999999,0.99746213,0.9940017559999997,0.996016274,1.0028626279999997,0.9928141280000001,0.9984919309999998,0.9984919309999998,0.9950518089999998,1.0020699180000003,1.0020699180000003,0.9972518459999999,0.9959902689999999
2020-01-14 00:00:00+00:00,1.0,1.00794169091828,1.0002848729999998,1.0001937229999995,0.996897069,0.9979549759999999,1.001087391,0.9987367039999999,0.9947613669999997,0.996530369,1.0039839389999996,0.9925488320000002,0.9999701259999998,0.9999701259999998,0.9963707869999997,1.0035663640000003,1.0035663640000003,0.9987294510000001,0.997903838
2020-01-15 00:00:00+00:00,1.0,1.010219495103022,1.004103216,1.0043134009999997,1.0018932200000001,1.003484791,1.0039861810000001,1.002810239,1.0000626359999998,1.001486862,1.0064934249999995,0.9976114890000004,1.0054783019999998,1.0054783019999998,1.0013416109999997,1.0060861420000005,1.0060861420000005,1.004557432,1.003366372
2020-01-16 00:00:00+00:00,1.0,1.0186228903914767,1.004891974,1.0053634929999995,1.000078328,1.002866946,1.0038620590000003,1.001957041,0.9981084249999996,1.000918683,1.0080489119999994,0.9959385930000002,1.0051722269999996,1.0051722269999996,1.0000896649999997,1.0060350800000004,1.0060350800000004,1.003262537,1.0017336689999998
2020-01-17 00:00:00+00:00,1.0,1.021793385650435,1.0054386089999998,1.0061354849999997,1.0004716990000002,1.0031349610000002,1.0022296810000002,1.00126303,0.9975410159999997,1.0009686340000001,1.0083818679999994,0.9972068480000004,1.0031478409999997,1.0031478409999997,0.9989186089999997,1.0058660380000004,1.0058660380000004,1.001114386,0.9991545789999999
2020-01-21 00:00:00+00:00,1.0,1.0197925101499814,1.007159225,1.0075415399999996,1.0029430280000002,1.005299416,1.0055753550000002,1.0044141930000001,1.0008327709999996,1.0031548170000002,1.0102445519999994,0.9988626070000004,1.0071986509999995,1.0071986509999995,1.0022119749999998,1.0086406900000002,1.0086406900000002,1.005543841,1.0040118420000002
2020-01-22 00:00:00+00:00,1.0,1.019915662627967,1.008307534,1.0091860049999997,1.0037990610000005,1.006662865,1.0056716370000003,1.003587709,1.0009537619999995,1.004659408,1.0105686079999994,1.0001379920000004,1.0080970879999995,1.0080970879999995,1.0028902899999999,1.008905326,1.008905326,1.007526468,1.0056554020000001
2020-01-23 00:00:00+00:00,1.0,1.0210853763242886,1.011068934,1.0127952549999997,1.0058798510000004,1.009738595,1.007919077,1.0047224689999998,1.0034371719999995,1.0083002279999997,1.0127661079999994,1.0038612320000002,1.0113229579999994,1.0113229579999994,1.00571124,1.0112583860000002,1.0112583860000002,1.0121127079999999,1.009872142
2020-01-24 00:00:00+00:00,1.0,1.012004783313638,1.0093369110000001,1.0132619129999998,1.0023617860000005,1.008909805,1.007474794,1.0021723859999998,1.0048349709999995,1.0096297739999998,1.0129222019999995,1.0078395210000002,1.0119900319999995,1.0119900319999995,1.006193239,1.012830158,1.012830158,1.017009744,1.014225604
2020-01-27 00:00:00+00:00,1.0,0.995782943522706,1.0070305110000002,1.0146160999999998,0.9965684770000004,1.007896801,1.0078819780000001,0.9988529629999998,1.0074210739999994,1.0124393639999996,1.0140559009999996,1.0144426420000006,1.0140977569999996,1.0140977569999996,1.0075356629999999,1.01606922,1.01606922,1.0256980690000004,1.022252917
